iter	Passed	Remaining
975	97500	2397
976	97591	2297
977	97669	2197
978	97734	2096
979	97836	1996
980	97938	1896
981	98013	1796
982	98105	1696
983	98177	1596
984	98307	1497
985	98392	1397
986	98462	1296
987	98564	1197
988	98652	1097
989	98723	997
990	98807	897
991	98894	797
992	98988	697
993	99092	598
994	99173	498
995	99274	398
996	99352	298
997	99446	199
998	99517	99
999	99596	0
